package,N
rlang,821870
vctrs,710700
cli,694187
lifecycle,671175
ggplot2,666765
Rcpp,660521
RcppEigen,623242
withr,610231
glue,601685
tibble,589878
fs,589519
magrittr,585544
R6,570520
cpp11,557871
pillar,557156
dplyr,525533
scales,524325
bslib,496321
S7,494078
gtable,491848
rmarkdown,489389
isoband,484915
callr,476326
sass,475446
jsonlite,474620
processx,471148
pkgconfig,468050
otel,464939
generics,461440
utf8,460920
rstan,457919
curl,456071
viridisLite,455978
farver,454385
ps,451413
RColorBrewer,438170
StanHeaders,438124
xfun,432019
labeling,426295
pkgbuild,421237
BH,416360
purrr,409042
desc,394469
digest,385602
knitr,382873
gridExtra,382859
tidyr,382556
stringr,380942
htmltools,373465
tidyselect,373386
yaml,370524
tinytex,366842
evaluate,365035
stringi,358765
highr,356360
crayon,355937
mime,355622
base64enc,355296
fastmap,353162
cachem,353153
backports,351801
pkgload,350340
jquerylib,349622
rappdirs,345097
fontawesome,343913
memoise,343247
testthat,330157
textshaping,316224
tidyverse,308905
abind,306743
checkmate,305616
ragg,298840
matrixStats,294027
systemfonts,293845
data.table,286965
numDeriv,283702
RcppParallel,276573
openssl,276083
htmlwidgets,275524
rprojroot,274500
loo,273223
xml2,268721
posterior,265851
distributional,264937
rstudioapi,257611
httr,257018
commonmark,253535
waldo,252335
shiny,250112
brio,243827
diffobj,243602
readxl,242748
praise,236926
zoo,234772
QuickJSR,233090
askpass,230859
sys,228925
later,227497
inline,225994
readr,225661
promises,225277
bit64,225157
httpuv,223456
igraph,219289
hms,218995
prettyunits,206701
vroom,203825
bit,201925
plyr,201899
reshape2,198196
lme4,195490
DBI,194343
tensorA,193429
clipr,192735
RcppArmadillo,191672
lazyeval,190541
xtable,190439
progress,190234
lubridate,188008
sourcetools,181791
tzdb,179544
crosstalk,172564
timechange,170644
broom,169894
miniUI,166632
litedown,160174
markdown,159047
gargle,158603
googledrive,155080
googlesheets4,155059
DT,152252
remotes,150730
reprex,147528
blob,144079
dbplyr,140096
ggrepel,140033
colorspace,139655
Rdpack,138566
reformulas,137631
openxlsx,137326
ggridges,136016
nloptr,134924
png,133630
car,132427
V8,131626
rbibutils,131353
forcats,131176
haven,128844
cellranger,128470
rematch,127143
lmtest,126813
httr2,125940
gtools,124049
modelr,123424
minqa,123207
mvtnorm,123002
zip,121725
coda,120271
xts,120000
uuid,119944
selectr,119908
future,117841
e1071,117320
shinyjs,117194
parallelly,116752
rvest,115641
quantreg,114317
MatrixModels,112971
globals,112419
BiocManager,112275
cowplot,111558
forecast,110767
Formula,109547
sf,108825
doBy,107156
timeDate,106931
proxy,106737
foreach,104693
fracdiff,104231
iterators,103444
dygraphs,102260
urca,100345
colourpicker,100224
shinythemes,98798
patchwork,98607
SparseM,98521
listenv,97731
devtools,97466
threejs,95565
dtplyr,94703
roxygen2,94340
shinystan,94026
pbkrtest,93814
bitops,91289
bayesplot,90814
rstantools,89540
conflicted,89239
ids,88614
RSQLite,87797
renv,86920
writexl,86476
carData,86218
pak,85930
rematch2,85774
s2,85714
pkgdown,84488
rstatix,84476
terra,83648
svglite,83614
units,82219
Deriv,82145
ggpubr,81656
classInt,79665
future.apply,78823
plotly,78354
rex,77385
ellipsis,77311
XML,75280
sandwich,75036
janitor,74287
usethis,74205
raster,73102
sp,70595
sessioninfo,69995
Hmisc,69663
wk,69268
gh,69244
corrplot,69111
maps,68826
brew,68783
progressr,68298
survival,67862
R.methodsS3,67676
jpeg,67604
R.utils,67120
covr,66415
arrow,65985
kableExtra,65764
fansi,65127
profvis,65090
shape,65063
R.oo,64608
magick,63991
gert,63564
psych,62821
here,62156
whisker,61707
RCurl,61379
viridis,60336
credentials,59994
htmlTable,59908
ggsci,59440
reticulate,58485
glmnet,57922
assertthat,56969
doParallel,56850
rcmdcheck,56468
TTR,55852
quadprog,54848
urlchecker,54652
downlit,54593
gdtools,54511
insight,54148
gitcreds,54092
futile.logger,53778
Matrix,53175
formatR,52583
ini,52187
odbc,52161
xopen,51929
rversions,51124
RcppTOML,49751
snow,49337
vegan,49070
emmeans,49045
lambda.r,48433
hexbin,48384
mnormt,47902
estimability,47751
polynom,47497
GPArotation,47189
pdftools,47163
statmod,47029
lava,47029
MASS,46873
gridtext,46720
leaflet,46059
quantmod,45938
lattice,45766
futile.options,45731
ape,45262
ggthemes,44467
ggsignif,44404
plumber,44301
multcomp,44054
cluster,43805
nlme,43536
pROC,43056
sodium,42960
irlba,42911
deldir,42824
ggtext,42328
recipes,41855
palmerpenguins,41543
nycflights13,41536
pbapply,40526
rjson,40518
webutils,40429
datawizard,40352
hardhat,39970
TH.data,39581
fontquiver,39462
polyclip,39248
permute,38819
prodlim,38759
gt,38662
duckdb,38636
aplot,38576
snakecase,38418
sparsevctrs,38163
caTools,37664
SQUAREM,37598
locfit,37519
caret,37510
fontLiberation,37378
fontBitstreamVera,37016
ggforce,36721
clock,36683
furrr,36657
Lahman,36640
showtext,36397
tidytree,36239
filelock,35755
sysfonts,35125
reactable,35083
ggrastr,34851
tidymodels,34685
performance,34621
bookdown,34493
gplots,34472
FNN,34108
tweenr,34034
ipred,33800
flextable,33794
diagram,33614
microbenchmark,33454
pheatmap,33106
showtextdb,33067
mclust,32768
officer,32612
randomForest,32602
rpart,32477
ggfun,32423
reactR,32365
FactoMineR,32351
gower,32111
bayestestR,31970
tesseract,31966
factoextra,31260
spam,31165
webp,31087
repurrrsive,30945
boot,30761
ggplotify,30643
gapminder,30560
lmerTest,30163
juicyjuice,30019
pracma,30010
babynames,29285
bigD,29229
tseries,28317
vdiffr,28149
ggiraph,27940
DEoptimR,27922
RcppProgress,27837
pcreg,27759
parameters,27442
survey,27432
graphlayouts,27288
tinytest,27187
scatterplot3d,27080
robustbase,26961
yulab.utils,26630
Seurat,26434
plotrix,26299
multcompView,26291
RSpectra,26249
ModelMetrics,25901
spatstat.random,25817
mgcv,25730
hunspell,25625
restfulr,25595
spatstat.geom,25504
spelling,25487
clue,25440
spatstat.explore,25363
lavaan,25151
class,25118
quarto,24805
R.cache,24773
ROCR,24661
ggraph,24641
spatstat.utils,24632
fastmatch,24456
expm,24311
spatstat.univar,24225
ordinal,23988
dotCall64,23971
leaps,23717
tidygraph,23659
Rsolnp,23573
ucminf,23405
lpSolve,23375
gridGraphics,23351
spatstat.sparse,23188
rJava,23106
dendextend,23064
nanonext,22793
nnet,22647
ellipse,22499
effectsize,22458
jose,22279
circlize,22168
nleqslv,22135
visNetwork,21868
mitools,21664
gson,21651
spdep,21607
rgl,21539
pan,21391
munsell,21313
RUnit,21147
slam,21127
mice,21120
xgboost,21055
kernlab,20964
ggnewscale,20797
GlobalOptions,20702
rugarch,20683
Rtsne,20666
xmlparsedata,20615
dqrng,20419
modeltools,20267
fastDummies,20248
foreign,19935
segmented,19899
GGally,19819
gtsummary,19675
uwot,19653
bnlearn,19638
pkgKitten,19598
RANN,19518
spatstat.data,19443
fitdistrplus,19311
ks,19298
RcppAnnoy,19189
cards,19184
labelled,19087
SeuratObject,18837
stringdist,18777
websocket,18761
KernSmooth,18666
interp,18666
brms,18657
lintr,18604
spData,18552
RcppHNSW,18539
pbivnorm,18437
mathjaxr,18380
bdsmatrix,18283
deSolve,18261
sitmo,18211
slider,18190
ggstats,18161
ade4,18117
logger,18100
ca,17999
AsioHeaders,17989
mitml,17850
mapproj,17831
warp,17818
mirai,17700
flashClust,17678
jomo,17677
bridgesampling,17660
chromote,17620
goftest,17569
ranger,17544
Cairo,17464
metafor,17456
latticeExtra,17296
cardx,17290
TMB,17131
repr,17120
config,16981
GetoptLong,16803
nortest,16798
reshape,16653
scatterpie,16633
ggbeeswarm,16588
libcoin,16522
mockery,16487
leaflet.providers,16322
qpdf,16216
coin,16185
lobstr,16122
rsample,16114
Brobdingnag,16002
rsconnect,15958
codetools,15922
DiagrammeR,15917
tensor,15909
broom.mixed,15811
pixmap,15581
beeswarm,15545
shinydashboard,15463
registry,15461
styler,15448
survminer,15376
sctransform,15305
corpcor,15216
shinyWidgets,15179
rstanarm,15090
gmp,15043
servr,15005
rapidjsonr,14937
fields,14926
sfheaders,14764
glmmTMB,14717
vipor,14684
DescTools,14608
geometries,14516
RPostgres,14456
metadat,14444
rootSolve,14265
ggdist,13987
spatial,13920
truncnorm,13908
lmom,13872
VGAM,13835
rngtools,13747
rbenchmark,13742
chron,13722
pander,13651
TSP,13427
fixest,13203
rlist,13189
CompQuadForm,13164
pcaPP,13139
scattermore,13053
vcd,13025
dbscan,13008
collapse,12963
rsvg,12917
ggtangle,12831
gld,12828
combinat,12777
AER,12759
exactRankTests,12729
seriation,12728
pacman,12717
partykit,12620
moments,12592
SnowballC,12486
gclus,12449
geojsonsf,12404
pingr,12309
rentrez,12271
rio,12260
skimr,12236
rsvd,12181
jsonify,12175
RhpcBLASctl,12168
snowflakeauth,12124
stars,12101
packrat,12044
arm,11975
gdata,11918
strucchange,11910
qap,11868
mlbench,11761
rms,11723
ggplot2movies,11710
doRNG,11619
stringmagic,11606
gbm,11582
R.rsp,11514
googleAuthR,11510
Exact,11483
ggalluvial,11236
UpSetR,11192
yardstick,11166
network,11139
tidytext,11035
RMySQL,11021
git2r,11008
dreamerr,10948
effects,10932
urltools,10916
maxstat,10895
agricolae,10865
ica,10833
bibliometrix,10761
rpart.plot,10746
plm,10730
parsnip,10707
spatstat,10686
marginaleffects,10621
shinycssloaders,10528
bbmle,10473
GeneralizedHyperbolic,10413
multicool,10396
lpSolveAPI,10392
webshot2,10332
anytime,10275
triebeard,10171
SkewHyperbolic,10124
scam,10069
geepack,10020
statnet.common,9969
RSpincalc,9960
lwgeom,9922
RPostgreSQL,9910
geosphere,9880
pscl,9777
miscTools,9766
webfakes,9749
stringfish,9728
maxLik,9713
modelsummary,9618
dials,9606
flexmix,9539
tidydr,9483
polspline,9445
workflows,9436
otelsdk,9386
downloader,9380
proto,9363
aws.signature,9332
modeldata,9317
AzureAuth,9283
pls,9272
gam,9269
cmprsk,9194
dichromat,9185
janeaustenr,9144
aws.s3,9142
tokenizers,9134
webshot,9127
tables,9110
leafem,9085
rnaturalearth,9080
admisc,8965
phangorn,8947
tmap,8931
stargazer,8909
egg,8870
qs2,8811
ggeffects,8789
sna,8769
tinytable,8717
tune,8677
tm,8673
gsl,8646
AzureGraph,8630
autoann,8599
linreg,8569
zeallot,8546
ncdf4,8542
coro,8541
googleAnalyticsR,8535
meta,8524
sparklyr,8497
minpack.lm,8490
IRdisplay,8488
data.tree,8482
PerformanceAnalytics,8474
msigdbr,8464
GauPro,8441
seqinr,8434
PRROC,8400
xlsx,8379
ggcorrplot,8353
DHARMa,8348
modelenv,8340
measurementProtocol,8272
gmodels,8218
bench,8208
ismev,8201
gap,8199
shadowtext,8160
countrycode,8151
AzureRMR,8143
lbfgs,8116
operator.tools,8078
Rmpfr,8065
DiceDesign,8034
ggpp,8003
PKI,7999
RcppRoll,7991
suntools,7953
lgr,7930
nanoarrow,7915
sfd,7892
leidenbase,7860
sem,7834
mixopt,7821
formula.tools,7797
enrichit,7795
splitfngr,7788
afex,7780
memuse,7767
corrr,7705
timeSeries,7675
profmem,7649
WGCNA,7634
infer,7586
VennDiagram,7575
tailor,7548
collections,7541
MCMCpack,7535
fastcluster,7526
IRkernel,7511
mlr3,7510
mi,7482
fdrtool,7441
magic,7441
formattable,7439
sjlabelled,7426
stabledist,7419
Metrics,7419
shinytest2,7369
fastICA,7347
DEoptim,7335
ggh4x,7303
gridBase,7298
languageserver,7290
biglm,7195
crul,7188
correlation,7160
maptiles,7144
tableone,7137
see,7110
cubature,7099
workflowsets,7092
harmony,7057
rrcov,7031
implied,7031
feather,7030
RcppML,7029
NLP,7028
rjags,7022
AlgDesign,7000
babelgene,6997
OpenMx,6961
yyjsonr,6927
Rfast,6900
RJSONIO,6897
wordcloud,6893
MatchIt,6889
party,6882
shades,6870
qgam,6833
clusterGeneration,6776
itertools,6765
dunn.test,6763
modelbased,6748
leaflegend,6741
ggfittext,6740
optparse,6737
vars,6731
paletteer,6713
sjmisc,6701
nnls,6663
visdat,6644
gsubfn,6574
mlr3misc,6553
httpcode,6541
nanoparquet,6531
hdf5r,6505
optimParallel,6499
testit,6484
xlsxjars,6474
installr,6467
MuMIn,6429
mapview,6423
leafgl,6399
norm,6373
naniar,6371
doFuture,6333
cols4all,6331
pwr,6324
optimx,6322
bbotk,6322
qgraph,6304
waiter,6300
extrafont,6297
dynamicTreeCut,6272
elliptic,6271
cyclocomp,6268
extraDistr,6255
mcmc,6232
mediation,6210
aisdk,6197
prettydoc,6156
hypergeo,6154
scrutiny,6143
chk,6133
tmaptools,6122
gap.datasets,6093
sjPlot,6055
linprog,6045
BayesFactor,6038
doMC,6022
sparkline,6014
phytools,5992
mlr3learners,5985
mlr3measures,5970
fastGHQuad,5952
geometry,5939
prismatic,5917
clubSandwich,5916
sfsmisc,5906
semPlot,5906
betareg,5897
FSA,5874
sqldf,5854
RODBC,5853
zigg,5836
paradox,5829
